"Trade ID";"Status";"Counterparty";"Timestamp";"B/S";"Instrument";"Tenor";"Price";"CommissionPriceShift (pts)";"Value Date 1";"First Rate";"Amount";"Contra Amount";"Value Date 2";"Second Amount";"Second Contra Amount";"Base Quantity";"Source Name";"Trader";"Account";"Counterparty Trader";"Counterparty Account";"Type";"Comment";"Reference ID";"Order ID";"Operation ID";"Operation Level";"External";"Ext Order Id";"Ext Exec Id";"Ext Client Id";"Responsible";"Initiator Id";"Initiator";"Send to STP";"Send to STP(Removed)"
"14061231";"0";"CATX";"2019.04.17 17:11:25.328";"Sell";"USDRUB";"TOM";"63.935";"";"2019.04.18";"";"250000";"15983750";"";"";"";"true";"Matching";"AlfaBankSystem";"AlfaBank";"CATX01_12_OM";"Chartex Sales (ALGO) ECN";"Exchange";"";"";"657d4f79-9df2-4559-bb7e-94407e90b759";"4b0ced7c-4929-4a24-96b3-555d4ce1b903";"0";"true";"";"";"";"";"5078";"CATX01_12_OM";"true";""
"14061232";"0";"RONI";"2019.04.17 17:11:25.352";"Sell";"USDRUB";"TOM";"63.9363788";"";"2019.04.18";"";"1000000";"63936378.8";"";"";"";"true";"Executor_ALGO_Pos";"ALFN_OmegExecutor";"ALFN_OmegExecutor";"RONI01_00_OM";"Ronin Europe LTD Ldn";"Exchange";"";"";"8c6b99e5-65fe-457d-bf4f-fffa286a2550";"00773910-c903-40ee-9e1e-6d63c78b7ec6";"0";"true";"";"";"";"";"2259";"RONI01_00_OM";"true";""
"14061244";"0";"ALFN";"2019.04.17 17:11:29.967";"Sell";"USDRUB";"TOM";"63.9372";"";"2019.04.18";"";"500000";"31968600";"";"";"";"true";"ARobot";"ALFN_AggregatorLndCoverer";"ALFN_AggregatorLndCoverer";"ALFN_ARobotLP";"ALFN_ARobotLP";"Exchange";"";"";"8be8c96d-9ca1-4d73-a887-1abdcfe735ad";"121a066c-770b-488e-ac2d-99788e9c7615";"2";"true";"5e7808f5-90ae-4d58-ad12-3cd326d3cfdb";"450d7c6a-ad8d-43a6-9ac5-0e5ef07ed893";"";"";"4800";"UBSL07_00_OM";"true";""
"14061257";"0";"RONI";"2019.04.17 17:11:37.025";"Sell";"GBPUSD";"SPOT";"1.30327607";"";"2019.04.23";"";"500000";"651638.04";"";"";"";"true";"Executor_ALGO_Pos";"ALFN_OmegExecutor";"ALFN_OmegExecutor";"RONI01_00_OM";"Ronin Europe LTD Ldn";"Exchange";"";"";"d4f46a3c-899a-45ee-b779-0537a05da8a1";"972f2526-86d0-4faf-b5ad-43d52ae915fc";"0";"true";"";"";"";"";"2259";"RONI01_00_OM";"true";""
"14061261";"0";"RONI";"2019.04.17 17:11:43.064";"Sell";"USDRUB";"TOM";"63.9357787";"";"2019.04.18";"";"1000000";"63935778.7";"";"";"";"true";"Executor_ALGO_Pos";"ALFN_OmegExecutor";"ALFN_OmegExecutor";"RONI01_00_OM";"Ronin Europe LTD Ldn";"Exchange";"";"";"2cf20574-b355-4898-8562-9e23810e8c3d";"9eb9ffa2-4803-47c8-b3a5-77dbcc7073a1";"0";"true";"";"";"";"";"2259";"RONI01_00_OM";"true";""
"14061267";"0";"RONI";"2019.04.17 17:11:50.681";"Sell";"USDJPY";"SPOT";"111.971";"";"2019.04.19";"";"500000";"55985500";"";"";"";"true";"Executor_ALGO_LP_B-to-B";"ALFN_OmegExecutor";"ALFN_OmegExecutor";"RONI04_00_OM";"Ronin Europe LTD Ldn AGR";"Exchange";"";"";"f75ea0e0-8312-4e0f-a785-50928f63cf75";"1d795fb1-6629-4078-87a5-8ac78c7a429f";"0";"true";"";"";"";"";"3455";"RONI04_00_OM";"true";""
"14061271";"0";"CATX";"2019.04.17 17:12:03.545";"Sell";"USDRUB";"TOM";"63.9395";"";"2019.04.18";"";"250000";"15984875";"";"";"";"true";"Matching";"AlfaBankSystem";"AlfaBank";"CATX01_12_OM";"Chartex Sales (ALGO) ECN";"Exchange";"";"";"0f255641-6007-4ac3-a14b-ea971f5d1471";"0371925e-7365-4666-b8f5-8faef2ba43e1";"0";"true";"";"";"";"";"5078";"CATX01_12_OM";"true";""
"14061274";"0";"RONI";"2019.04.17 17:12:05.672";"Sell";"GBPUSD";"SPOT";"1.30297606";"";"2019.04.23";"";"500000";"651488.03";"";"";"";"true";"Executor_ALGO_Pos";"ALFN_OmegExecutor";"ALFN_OmegExecutor";"RONI01_00_OM";"Ronin Europe LTD Ldn";"Exchange";"";"";"bd31116b-98ba-40ec-a150-8556b6170101";"b7b74fc5-324c-43e5-b765-9839d43ffee3";"0";"true";"";"";"";"";"2259";"RONI01_00_OM";"true";""
"14061276";"0";"INTF";"2019.04.17 17:12:05.951";"Sell";"GBPUSD";"SPOT";"1.30303";"";"2019.04.23";"";"500000";"651515";"";"";"";"true";"Executor_ALFA FX LND T/O free";"ALFN_ExecutorLnd";"ALFN_ExecutorLnd";"INTF00_01_OM";"INTL FCStone LTD Lnd";"Exchange";"";"";"195180b5-28b3-413a-94b6-0507f8c9597d";"65f4fbbe-65b2-4832-9b8c-6f7a050f2499";"0";"true";"";"";"";"";"2697";"INTF00_01_OM";"true";""
"14061282";"0";"NRBM";"2019.04.17 17:12:08.554";"Sell";"GBPUSD";"SPOT";"1.30309";"";"2019.04.23";"";"125000";"162886.25";"";"";"";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"NRBM2";"Nationalnuy Rezervnuy Bank";"Exchange";"";"";"07ee796d-667c-413f-8033-59daa3dcb6b3";"b4888b23-aa23-479e-accb-d459f19114e4";"0";"true";"";"";"";"";"4176";"NRBM2";"true";""
